"","date","series_id","value","realtime_start","realtime_end"
"1",1998-01-01,"CUSR0000SEFV05",100.1,2023-06-14,2023-06-14
"2",1998-02-01,"CUSR0000SEFV05",100.5,2023-06-14,2023-06-14
"3",1998-03-01,"CUSR0000SEFV05",100.5,2023-06-14,2023-06-14
"4",1998-04-01,"CUSR0000SEFV05",100.9,2023-06-14,2023-06-14
"5",1998-05-01,"CUSR0000SEFV05",100.9,2023-06-14,2023-06-14
"6",1998-06-01,"CUSR0000SEFV05",101.5,2023-06-14,2023-06-14
"7",1998-07-01,"CUSR0000SEFV05",101.7,2023-06-14,2023-06-14
"8",1998-08-01,"CUSR0000SEFV05",102.2,2023-06-14,2023-06-14
"9",1998-09-01,"CUSR0000SEFV05",102.3,2023-06-14,2023-06-14
"10",1998-10-01,"CUSR0000SEFV05",102.3,2023-06-14,2023-06-14
"11",1998-11-01,"CUSR0000SEFV05",102.9,2023-06-14,2023-06-14
"12",1998-12-01,"CUSR0000SEFV05",103.2,2023-06-14,2023-06-14
"13",1999-01-01,"CUSR0000SEFV05",103.4,2023-06-14,2023-06-14
"14",1999-02-01,"CUSR0000SEFV05",103.7,2023-06-14,2023-06-14
"15",1999-03-01,"CUSR0000SEFV05",103.9,2023-06-14,2023-06-14
"16",1999-04-01,"CUSR0000SEFV05",104.3,2023-06-14,2023-06-14
"17",1999-05-01,"CUSR0000SEFV05",104.7,2023-06-14,2023-06-14
"18",1999-06-01,"CUSR0000SEFV05",104.9,2023-06-14,2023-06-14
"19",1999-07-01,"CUSR0000SEFV05",105.6,2023-06-14,2023-06-14
"20",1999-08-01,"CUSR0000SEFV05",105.7,2023-06-14,2023-06-14
"21",1999-09-01,"CUSR0000SEFV05",106,2023-06-14,2023-06-14
"22",1999-10-01,"CUSR0000SEFV05",106.4,2023-06-14,2023-06-14
"23",1999-11-01,"CUSR0000SEFV05",106.5,2023-06-14,2023-06-14
"24",1999-12-01,"CUSR0000SEFV05",106.7,2023-06-14,2023-06-14
"25",2000-01-01,"CUSR0000SEFV05",107.4,2023-06-14,2023-06-14
"26",2000-02-01,"CUSR0000SEFV05",107.9,2023-06-14,2023-06-14
"27",2000-03-01,"CUSR0000SEFV05",108.1,2023-06-14,2023-06-14
"28",2000-04-01,"CUSR0000SEFV05",108.3,2023-06-14,2023-06-14
"29",2000-05-01,"CUSR0000SEFV05",108.4,2023-06-14,2023-06-14
"30",2000-06-01,"CUSR0000SEFV05",108.6,2023-06-14,2023-06-14
"31",2000-07-01,"CUSR0000SEFV05",108.7,2023-06-14,2023-06-14
"32",2000-08-01,"CUSR0000SEFV05",109.3,2023-06-14,2023-06-14
"33",2000-09-01,"CUSR0000SEFV05",109.6,2023-06-14,2023-06-14
"34",2000-10-01,"CUSR0000SEFV05",110.1,2023-06-14,2023-06-14
"35",2000-11-01,"CUSR0000SEFV05",110.6,2023-06-14,2023-06-14
"36",2000-12-01,"CUSR0000SEFV05",111,2023-06-14,2023-06-14
"37",2001-01-01,"CUSR0000SEFV05",111.3,2023-06-14,2023-06-14
"38",2001-02-01,"CUSR0000SEFV05",111.4,2023-06-14,2023-06-14
"39",2001-03-01,"CUSR0000SEFV05",111.8,2023-06-14,2023-06-14
"40",2001-04-01,"CUSR0000SEFV05",112,2023-06-14,2023-06-14
"41",2001-05-01,"CUSR0000SEFV05",112.7,2023-06-14,2023-06-14
"42",2001-06-01,"CUSR0000SEFV05",112.9,2023-06-14,2023-06-14
"43",2001-07-01,"CUSR0000SEFV05",113.9,2023-06-14,2023-06-14
"44",2001-08-01,"CUSR0000SEFV05",114.3,2023-06-14,2023-06-14
"45",2001-09-01,"CUSR0000SEFV05",115,2023-06-14,2023-06-14
"46",2001-10-01,"CUSR0000SEFV05",115.1,2023-06-14,2023-06-14
"47",2001-11-01,"CUSR0000SEFV05",115.1,2023-06-14,2023-06-14
"48",2001-12-01,"CUSR0000SEFV05",115.4,2023-06-14,2023-06-14
"49",2002-01-01,"CUSR0000SEFV05",115.6,2023-06-14,2023-06-14
"50",2002-02-01,"CUSR0000SEFV05",115.8,2023-06-14,2023-06-14
"51",2002-03-01,"CUSR0000SEFV05",116.4,2023-06-14,2023-06-14
"52",2002-04-01,"CUSR0000SEFV05",117.1,2023-06-14,2023-06-14
"53",2002-05-01,"CUSR0000SEFV05",117.3,2023-06-14,2023-06-14
"54",2002-06-01,"CUSR0000SEFV05",117.8,2023-06-14,2023-06-14
"55",2002-07-01,"CUSR0000SEFV05",117.7,2023-06-14,2023-06-14
"56",2002-08-01,"CUSR0000SEFV05",118.1,2023-06-14,2023-06-14
"57",2002-09-01,"CUSR0000SEFV05",118.6,2023-06-14,2023-06-14
"58",2002-10-01,"CUSR0000SEFV05",118.8,2023-06-14,2023-06-14
"59",2002-11-01,"CUSR0000SEFV05",119.5,2023-06-14,2023-06-14
"60",2002-12-01,"CUSR0000SEFV05",119.8,2023-06-14,2023-06-14
"61",2003-01-01,"CUSR0000SEFV05",119.9,2023-06-14,2023-06-14
"62",2003-02-01,"CUSR0000SEFV05",120.2,2023-06-14,2023-06-14
"63",2003-03-01,"CUSR0000SEFV05",120.4,2023-06-14,2023-06-14
"64",2003-04-01,"CUSR0000SEFV05",120.4,2023-06-14,2023-06-14
"65",2003-05-01,"CUSR0000SEFV05",120.5,2023-06-14,2023-06-14
"66",2003-06-01,"CUSR0000SEFV05",121.2,2023-06-14,2023-06-14
"67",2003-07-01,"CUSR0000SEFV05",121.3,2023-06-14,2023-06-14
"68",2003-08-01,"CUSR0000SEFV05",121.4,2023-06-14,2023-06-14
"69",2003-09-01,"CUSR0000SEFV05",121.8,2023-06-14,2023-06-14
"70",2003-10-01,"CUSR0000SEFV05",122.3,2023-06-14,2023-06-14
"71",2003-11-01,"CUSR0000SEFV05",122.7,2023-06-14,2023-06-14
"72",2003-12-01,"CUSR0000SEFV05",122.9,2023-06-14,2023-06-14
"73",2004-01-01,"CUSR0000SEFV05",123.9,2023-06-14,2023-06-14
"74",2004-02-01,"CUSR0000SEFV05",124,2023-06-14,2023-06-14
"75",2004-03-01,"CUSR0000SEFV05",124.1,2023-06-14,2023-06-14
"76",2004-04-01,"CUSR0000SEFV05",124.7,2023-06-14,2023-06-14
"77",2004-05-01,"CUSR0000SEFV05",124.8,2023-06-14,2023-06-14
"78",2004-06-01,"CUSR0000SEFV05",124.8,2023-06-14,2023-06-14
"79",2004-07-01,"CUSR0000SEFV05",125.1,2023-06-14,2023-06-14
"80",2004-08-01,"CUSR0000SEFV05",125.4,2023-06-14,2023-06-14
"81",2004-09-01,"CUSR0000SEFV05",125.9,2023-06-14,2023-06-14
"82",2004-10-01,"CUSR0000SEFV05",126.8,2023-06-14,2023-06-14
"83",2004-11-01,"CUSR0000SEFV05",126.7,2023-06-14,2023-06-14
"84",2004-12-01,"CUSR0000SEFV05",127,2023-06-14,2023-06-14
"85",2005-01-01,"CUSR0000SEFV05",127.5,2023-06-14,2023-06-14
"86",2005-02-01,"CUSR0000SEFV05",128.7,2023-06-14,2023-06-14
"87",2005-03-01,"CUSR0000SEFV05",129.4,2023-06-14,2023-06-14
"88",2005-04-01,"CUSR0000SEFV05",129.6,2023-06-14,2023-06-14
"89",2005-05-01,"CUSR0000SEFV05",130.3,2023-06-14,2023-06-14
"90",2005-06-01,"CUSR0000SEFV05",131.6,2023-06-14,2023-06-14
"91",2005-07-01,"CUSR0000SEFV05",132,2023-06-14,2023-06-14
"92",2005-08-01,"CUSR0000SEFV05",132.6,2023-06-14,2023-06-14
